benchmark,myapp_result,z3,q3b,cvc5,bitw,parse+z3,parse+cvc5,parse+bitw,simplify+z3,simplify+cvc5,simplify+bitw,myapp+z3,myapp+cvc5,myapp+bitw
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_29.smt2, succ, timeout, sat, timeout, sat, timeout, timeout, sat, timeout, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_69.smt2, succ, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_41.smt2, succ, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_57.smt2, succ, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_56.smt2, succ, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_3.smt2, succ, timeout, sat, timeout, sat, timeout, timeout, sat, timeout, sat, sat, timeout, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_60.smt2, succ, sat, sat, timeout, timeout, sat, timeout, timeout, sat, timeout, timeout, sat, timeout, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_20.smt2, succ, timeout, sat, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_45.smt2, succ, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_42.smt2, succ, timeout, timeout, unsat, timeout, timeout, timeout, timeout, timeout, unsat, timeout, timeout, unsat, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_58.smt2, succ, unsat, timeout, timeout, timeout, unsat, timeout, timeout, unsat, unsat, timeout, unsat, unsat, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_4.smt2, succ, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_45.smt2, succ, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_58.smt2, succ, unsat, unsat, timeout, timeout, unsat, timeout, timeout, unsat, timeout, timeout, unsat, timeout, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_65.smt2, succ, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_2.smt2, succ, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_32.smt2, succ, unsat, unsat, timeout, timeout, unsat, timeout, timeout, timeout, unsat, timeout, timeout, unsat, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_68.smt2, succ, unsat, timeout, timeout, timeout, unsat, timeout, timeout, unsat, timeout, timeout, unsat, timeout, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_48.smt2, myapp_timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_16.smt2, succ, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_23.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, timeout, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_51.smt2, succ, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_43.smt2, succ, timeout, sat, timeout, sat, timeout, timeout, sat, timeout, sat, sat, timeout, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_55.smt2, succ, unsat, timeout, unsat, unsat, unsat, unsat, unsat, unsat, unsat, unsat, unsat, unsat, unsat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_63.smt2, succ, timeout, sat, timeout, timeout, timeout, timeout, timeout, sat, timeout, timeout, sat, timeout, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_13.smt2, succ, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_8.smt2, succ, timeout, sat, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_54.smt2, myapp_timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_60.smt2, succ, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_49.smt2, succ, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_16.smt2, succ, timeout, sat, timeout, sat, timeout, timeout, sat, timeout, timeout, sat, timeout, timeout, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_67.smt2, succ, unsat, timeout, timeout, timeout, unsat, timeout, timeout, unsat, timeout, timeout, unsat, timeout, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_35.smt2, succ, unsat, unsat, timeout, unsat, unsat, timeout, unsat, unsat, timeout, unsat, unsat, timeout, unsat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_14.smt2, succ, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_9.smt2, succ, timeout, sat, sat, sat, timeout, sat, sat, timeout, sat, sat, sat, sat, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_25.smt2, succ, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_12.smt2, succ, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_24.smt2, succ, timeout, sat, timeout, timeout, timeout, timeout, timeout, timeout, timeout, sat, timeout, timeout, sat
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_36.smt2, succ, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_18.smt2, succ, timeout, sat, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_64.smt2, succ, sat, timeout, timeout, timeout, sat, timeout, timeout, timeout, timeout, timeout, sat, timeout, timeout
../bench/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_53.smt2, succ, timeout, timeout, timeout, sat, timeout, timeout, sat, timeout, timeout, sat, timeout, timeout, sat
